True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.359312,N/A,N/A,ADIBASHI YOUTH CLUB SSK,https://kys.udiseplus.gov.in/#/schooldetail/3494925/11,Alipurduar,Alipurduar-ii,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"SAMUKTALA,BIDHAN NAGAR",736206,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.395951,N/A,N/A,ADMA FV PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446778/11,Alipurduar,Kalchini,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,ADMA FOREST BUSTY,735227,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.430431,N/A,N/A,AGAPE ACADEMY (PVT),https://kys.udiseplus.gov.in/#/schooldetail/3471143/11,Alipurduar,Kalchini,2024-25,2-Primary with Upper Primary,5-Private Unaided(Recognized),1 To 8,3-Co-educational,1-Rural,"SANTALABARI F. V. , BUXADUAR, DIST ALIPURDUAR",735227,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.464264,N/A,N/A,AIR FORCE SCHOOL HASIMARA,https://kys.udiseplus.gov.in/#/schooldetail/3471111/11,Alipurduar,Kalchini,2024-25,3-Pr. with Up.Pr. Sec. and H.Sec.,101-Other Central Govt. Schools,1 To 12,3-Co-educational,1-Rural,"airforce,hasimara",735215,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.496915,N/A,N/A,AKSHA BAKSHA PRY,https://kys.udiseplus.gov.in/#/schooldetail/3422472/11,Alipurduar,Kalchini,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"satali mandal para,alipurduar",735214,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.528279,N/A,N/A,ALBERT EKKA MEMORIAL (PVT),https://kys.udiseplus.gov.in/#/schooldetail/3495167/11,Alipurduar,Kalchini,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,GAROPARA,735217,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.561351,N/A,N/A,ALEYA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3471031/11,Alipurduar,Falakata,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"BADAITARI, ALIPURDUAR",735220,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.593551,N/A,N/A,ALINAGAR BIDYA PITH PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446707/11,Alipurduar,Falakata,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"VILL. ALINAGAR, P.O. ALINAGAR, DIST. ALIPURDUAR",735216,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.625087,N/A,N/A,ALINAGAR DAS PARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3422381/11,Alipurduar,Falakata,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"SURUGOAN SANTILINE , KHAGENHAT , ALIPURDUAR",735204,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.656776,N/A,N/A,ALINAGAR MITRA PARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3446708/11,Alipurduar,Falakata,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"alinagar , JATESWAR , ALIPURDUAR",735216,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.693561,N/A,N/A,ALINAGAR S/C PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446706/11,Alipurduar,Falakata,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,ALINAGAR,735216,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.776181,N/A,N/A,ALIPURDUAR BALIKA SIKSHA MANDIR HIGH SCHOOL (H.S),https://kys.udiseplus.gov.in/#/schooldetail/3422671/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,2-Girls,2-Urban,"Itkhola, Alipurduar",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.809149,N/A,N/A,ALIPURDUAR BOYS H/A PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446962/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,babupara,736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.840553,N/A,N/A,ALIPURDUAR COLLEGIATE HIGH SC,https://kys.udiseplus.gov.in/#/schooldetail/3499526/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,college para,736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.871853,N/A,N/A,ALIPURDUAR GIRL'S H/A. PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446961/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,2-Girls,2-Urban,alipurduar,736121,N/A
