has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.216435,N/A,N/A,NETAJEE HINDI F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3449013/11,Purba Bardhaman,Burdwan Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,"BABURBAG,BURDWAN",713104,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.250139,N/A,N/A,NETAJI F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496310/11,Purba Bardhaman,Burdwan-ii,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,RAINAGAR,713103,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.282119,N/A,N/A,NETAJI G.S.F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448961/11,Purba Bardhaman,Burdwan Municipality,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,2-Urban,3 No. ICHLABAD,713103,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.313467,N/A,N/A,NETAJI NURSERY AND PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3496562/11,Purba Bardhaman,Katwa-i,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,KHAJURDIHI PURBA BARDHAMAN,713150,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.346785,N/A,N/A,NETAJI SHISHU SHIKSHA NIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3496892/11,Purba Bardhaman,Mongalkote,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,NUTANHAT PURBA BARDHAMAN,713147,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.382454,N/A,N/A,NETAJI SHISHU SHIKSHA NIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3496669/11,Purba Bardhaman,Ketugram-ii,2024-25,1-Primary,8-Un-Recognised,1 To 4,3-Co-educational,1-Rural,"BAHARAN, PURBA BARDHAMAN",713123,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.413771,N/A,N/A,NETAJI SSK,https://kys.udiseplus.gov.in/#/schooldetail/3400659/11,Purba Bardhaman,Dainhat Municipality,2024-25,1-Primary,3-Local body,1 To 4,3-Co-educational,2-Urban,DAINHAT,713502,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:04.444603,N/A,N/A,NETRAKHANDA F.P.SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3473134/11,Purba Bardhaman,Raina-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,NETRAKHANDA RAMBATI PALASHAN PURBA BARDHAMAN,713424,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.025099,N/A,N/A,NETUNGRAM P K SSK,https://kys.udiseplus.gov.in/#/schooldetail/3423616/11,Purba Bardhaman,Burdwan-i,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,NETUNGRAM PURBA BARDHAMAN,713141,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.057498,N/A,N/A,NEW MADHUBAN F.P.SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3473302/11,Purba Bardhaman,Kalna Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,"taltala, kalna, purba bardhaman",713409,N/A
