has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,email,detail_school_name,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.245024,,,"UNION  ACADEMY, KALCHINI",https://kys.udiseplus.gov.in/#/schooldetail/3422403/11,Alipurduar,Kalchini,N/A,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,3-Co-educational,1-Rural,"P.O KALCHINI, P.S. KALCHINI, DIST. ALIPURDUAR, PIN 735217",735217,,School_ID_3422403,2025-08-26T22:46:11.752941,1-Rural,5,12,1953,1-Department of Education,15-Govt. Sponsered,2-State Board,2-State Board,1275,868,407,N/A,27,21,6,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.276289,,,UNION ACADEMY KALCHINI HIGH SCH FOR GIRLS,https://kys.udiseplus.gov.in/#/schooldetail/3422404/11,Alipurduar,Kalchini,N/A,7-Upper Pr. and Secondary,15-Govt. Sponsered,5 To 10,2-Girls,1-Rural,kalchini,735217,,School_ID_3422404,2025-08-26T22:46:24.306160,1-Rural,5,10,1963,1-Department of Education,15-Govt. Sponsered,2-State Board,NA,916,0,916,N/A,15,1,14,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.307221,,,UNIQUE PINK ENGLISH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3471164/11,Alipurduar,Kumargram,N/A,1-Primary,5-Private Unaided(Recognized),1 To 5,3-Co-educational,1-Rural,"TIYAMARI F.V., RAIDAK, ALIPURDUAR",736201,,School_ID_3471164,2025-08-26T22:46:35.771021,1-Rural,1,5,2013,5-Private Unaided (Recognized),5-Private Unaided,NA,NA,70,36,34,N/A,5,1,4,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.337486,,,UNIVERSAL MODERN SCHOOL (PVT),https://kys.udiseplus.gov.in/#/schooldetail/3422495/11,Alipurduar,Kalchini,N/A,,5-Private Unaided(Recognized),- To -,N/A,1-Rural,MECHPARA T G,735217,,School_ID_3422495,2025-08-26T22:46:47.241639,N/A,-,-,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,0,SUCCESS,7,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.376387,,,UPENDRA ADHIKARI SSK,https://kys.udiseplus.gov.in/#/schooldetail/3446673/11,Alipurduar,Falakata,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"SATPUKURIA , FALAKATA, ALIPURDUAR",735211,,School_ID_3446673,2025-08-26T22:46:58.938333,1-Rural,1,4,2003,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,48,18,30,N/A,3,0,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.407645,,,UPPER BIRBITTY SSK,https://kys.udiseplus.gov.in/#/schooldetail/3446919/11,Alipurduar,Madarihat,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"UPPER BIRBITY SSK, BIRPARA,735204",735204,,School_ID_3446919,2025-08-26T22:47:11.757410,1-Rural,1,4,2001,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,20,10,10,N/A,3,0,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.438520,,,UTTAR BAIRIGURI N P SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3470838/11,Alipurduar,Alipurduar-i,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,UTTAR BAIRAGURI,736122,,School_ID_3470838,2025-08-26T22:47:23.589516,1-Rural,1,5,1980,1-Department of Education,1-Department of Education,NA,NA,63,38,25,N/A,5,3,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.470083,,,UTTAR BALLALGURI ITDP,https://kys.udiseplus.gov.in/#/schooldetail/3471292/11,Alipurduar,Madarihat,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"BALLALGURI,TOTOPARA,MADARIHAT,ALIPURDUAR,735220(WB)",735220,,School_ID_3471292,2025-08-26T22:47:35.268582,1-Rural,1,4,1985,1-Department of Education,1-Department of Education,NA,NA,62,27,35,N/A,3,2,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.504131,,,UTTAR BALLALGURI JR. HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3471293/11,Alipurduar,Madarihat,N/A,4-Upper Primary only,1-Department of Education,5 To 8,3-Co-educational,1-Rural,"UTTAR BALLALGURI, TOTOPARA",735220,,School_ID_3471293,2025-08-26T22:47:47.003699,1-Rural,5,8,2009,1-Department of Education,1-Department of Education,NA,NA,48,19,29,N/A,1,1,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.537502,,,UTTAR BANIAPARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3471114/11,Alipurduar,Kalchini,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,purba satali dt. alipurduar,735214,,School_ID_3471114,2025-08-26T22:47:59.568631,1-Rural,1,4,2002,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,31,16,15,N/A,4,0,4,SUCCESS,9,2
